,,,,,,,,
,customer_id ,customer_type,current_address_country,customer_since_date,,,Field,Definition
,1,Personal,GBR,2023-02-23,,,customer_id,Unique Identifier for a given customer 
,2,Business,ESP,2023-10-18,,,customer_type,Flag that identifies whether the customer is an Personal or Busienss customer
,3,Business,ESP,2023-03-06,,,current_address_country,Current address of the customer (as of today)
,4,Personal,NOR,2022-02-18,,,customer_since_date,Date the customer joined Wise
,5,Business,FRA,2023-10-23,,,,
,6,Business,ISL,2022-12-26,,,,
,7,Business,UK,2022-12-03,,,,
,8,Personal,UK,2022-03-08,,,,
,9,Personal,DEU,2022-02-12,,,,
,10,Business,USA,2023-11-11,,,,
,11,Business,PRT,2022-03-06,,,,
,12,Business,UK,2022-02-06,,,,
,13,Personal,UK,2023-05-12,,,,
,14,Personal,UK,2022-12-14,,,,
,15,Personal,PRT,2022-07-29,,,,
,16,Business,AUS,2022-11-08,,,,
,17,Personal,UK,2023-10-21,,,,
,18,Business,AUS,2023-11-10,,,,
,19,NULL,FRA,2022-08-25,,,,
,20,Business,ISL,2023-12-26,,,,
,21,Business,USA,2023-08-17,,,,
,22,Personal,UK,2022-12-29,,,,
,23,Personal,AUS,2023-01-31,,,,
,24,Personal,UK,2022-08-09,,,,
,25,Personal,UK,2022-04-09,,,,
,26,Personal,ISL,2022-07-16,,,,
,27,Business,GBR,2023-10-27,,,,
,28,Personal,AUS,2022-05-08,,,,
,29,Personal,UK,2022-12-27,,,,
,30,Business,ESP,2023-06-17,,,,
,31,Personal,UK,2022-07-13,,,,
,32,Business,FRA,2023-09-01,,,,
,33,Personal,UK,2023-03-13,,,,
,34,Business,UK,2023-09-28,,,,
,35,Business,UK,2023-10-29,,,,
,36,Personal,ISL,2023-05-25,,,,
,37,Personal,USA,2022-10-10,,,,
,38,Personal,USA,2022-07-01,,,,
,39,Personal,UK,2022-03-22,,,,
,40,Personal,PRT,2023-11-27,,,,
,41,Personal,AUS,2022-02-22,,,,
,42,Personal,UK,2023-07-24,,,,
,43,Personal,PRT,2023-03-30,,,,
,44,Personal,FRA,2023-02-14,,,,
,45,Personal,NOR,2023-08-11,,,,
,46,Personal,DEU,2023-07-04,,,,
,47,Personal,USA,2022-11-02,,,,
,48,Personal,UK,2022-03-03,,,,
,49,Personal,UK,2022-07-12,,,,
,50,Personal,ISL,2022-07-13,,,,
,51,Personal,NOR,2023-03-19,,,,
,52,Personal,USA,2023-04-07,,,,
,53,NULL,UK,2023-10-28,,,,
,54,Personal,UK,2022-11-15,,,,
,55,Personal,UK,2023-07-01,,,,
,56,Personal,USA,2022-04-06,,,,
,57,Personal,FRA,2023-10-05,,,,
,58,Personal,GBR,2022-09-14,,,,
,59,Personal,UK,2022-05-17,,,,
,60,NULL,ESP,2022-04-06,,,,
,61,Personal,ISL,2022-09-17,,,,
,62,Personal,LIE,2022-01-30,,,,
,63,Personal,UK,2022-11-13,,,,
,64,Personal,UK,2022-09-26,,,,
,65,Personal,DEU,2023-03-16,,,,
,66,Personal,UK,2023-05-26,,,,
,67,NULL,FRA,2023-11-24,,,,
,68,Personal,USA,2023-03-09,,,,
,69,Personal,UK,2023-10-06,,,,
,70,Personal,UK,2023-04-17,,,,
,71,Personal,DEU,2022-11-22,,,,
,72,Personal,ESP,2022-11-23,,,,
,73,Personal,ISL,2022-10-27,,,,
,74,Personal,DEU,2023-11-24,,,,
,75,Personal,FRA,2022-10-31,,,,
,76,Personal,NOR,2023-06-02,,,,
,77,Personal,ITA,2023-05-26,,,,
,78,Business,FRA,2023-01-03,,,,
,79,Business,ITA,2022-08-12,,,,
,80,Personal,ITA,2022-04-20,,,,
,81,Business,FRA,2023-10-06,,,,
,82,Business,UK,2023-12-05,,,,
,83,Business,NOR,2022-09-09,,,,
,84,Personal,ESP,2023-10-22,,,,
,85,Personal,ESP,2023-09-18,,,,
,86,Business,DEU,2022-09-13,,,,
,87,Business,LIE,2023-08-17,,,,
,88,Business,UK,2022-11-23,,,,
,89,Personal,UK,2022-03-12,,,,
,90,Personal,PRT,2023-11-22,,,,
,91,Personal,ITA,2022-09-01,,,,
,92,Business,FRA,2023-11-04,,,,
,93,Personal,UK,2022-01-27,,,,
,94,Business,UK,2023-11-27,,,,
,95,Personal,UK,2023-10-11,,,,
,96,Business,AUS,2022-02-05,,,,
,97,Business,ISL,2023-11-19,,,,
,98,Personal,UK,2023-09-16,,,,
,99,Personal,DEU,2022-08-13,,,,
,100,Personal,FRA,2023-09-26,,,,
