,,,,,,,,
,transaction_id,customer_id,amount_GBP,currency_route ,transaction_date,,Field,Definition
,73,1,809,GBP --> AUD,2022-08-23,,transaction_id,Unique Identifier for a given transaction 
,102,1,184,EUR --> EUR,2022-02-07,,customer_id ,Unique Identifier for a given customer 
,11,2,253,AUD --> AUD,2022-06-30,,amount_GBP,Amount converted
,23,2,979,GBP --> USD,2022-04-04,,currency_route ,Start and end currency of a given transaction
,7,2,783,AUD --> EUR,2023-12-03,,transaction_date,Date of transaction
,85,3,460,USD --> USD,2022-12-30,,,
,117,4,1000,USD --> AUD,2022-08-21,,,
,56,9,573,AUD --> EUR,2022-07-22,,,
,15,12,450,GBP --> EUR,2023-03-10,,,
,130,14,547,GBP --> EUR,2022-03-08,,,
,66,16,993,EUR --> GBP,2023-02-27,,,
,9,18,235,GBP --> EUR,2022-05-02,,,
,99,18,863,GBP --> USD,2023-01-10,,,
,97,19,136,EUR --> AUD,2022-11-07,,,
,86,19,71,EUR --> AUD,2022-08-30,,,
,21,19,522,EUR --> USD,2023-08-24,,,
,109,19,-250,USD --> EUR,2023-09-06,,,
,19,22,670,USD --> GBP,2022-08-24,,,
,26,25,39,AUD --> EUR,2022-04-08,,,
,100,26,149,USD --> AUD,2023-03-24,,,
,143,26,794,EUR --> USD,2022-11-30,,,
,144,27,823,AUD --> USD,2023-02-05,,,
,97,29,768,AUD --> USD,2022-09-23,,,
,57,29,875,USD --> AUD,2022-12-12,,,
,112,29,168,USD --> EUR,2023-01-30,,,
,11,31,283,GBP --> USD,2022-03-21,,,
,92,33,818,EUR --> GBP,2022-03-29,,,
,27,36,102,AUD --> AUD,2023-05-26,,,
,28,37,985,EUR --> USD,2023-08-20,,,
,41,39,756,AUD --> AUD,2023-09-10,,,
,9,43,315,AUD --> AUD,2022-01-21,,,
,26,46,293,USD --> EUR,2022-08-20,,,
,49,47,365,GBP --> EUR,2023-01-25,,,
,39,49,165,GBP --> AUD,2022-10-25,,,
,88,49,817,USD --> USD,2022-03-31,,,
,137,51,530,GBP --> EUR,2022-09-29,,,
,23,51,110,EUR --> GBP,2022-07-10,,,
,48,52,866,EUR --> AUD,2022-05-26,,,
,12,53,135,EUR --> EUR,2023-06-19,,,
,80,53,538,USD --> USD,2022-05-08,,,
,116,53,303,AUD --> GBP,2023-10-28,,,
,69,54,441,USD --> AUD,2023-07-05,,,
,88,55,645,GBP --> AUD,2022-05-07,,,
,11,55,36,AUD --> GBP,2022-03-24,,,
,41,55,792,AUD --> AUD,2022-04-21,,,
,127,56,11,AUD --> USD,2023-11-28,,,
,10,60,271,GBP --> GBP,2022-08-13,,,
,102,60,682,EUR --> USD,2023-06-17,,,
,146,61,363,EUR --> AUD,2023-05-22,,,
,137,61,125,EUR --> AUD,2022-05-24,,,
,54,62,12,AUD --> USD,2022-10-04,,,
,82,62,55,USD --> AUD,2022-09-03,,,
,5,65,53,EUR --> USD,2023-09-18,,,
,127,66,652,USD --> AUD,2023-09-30,,,
,69,66,433,USD --> GBP,2022-06-28,,,
,96,67,853,USD --> EUR,2022-02-27,,,
,92,67,955,AUD --> EUR,2023-08-01,,,
,5,70,606,GBP --> AUD,2023-10-15,,,
,118,70,762,EUR --> GBP,2023-01-28,,,
,57,70,707,AUD --> USD,2022-01-08,,,
,48,72,825,GBP --> GBP,2022-09-18,,,
,30,72,282,EUR --> EUR,2022-05-15,,,
,142,72,151,AUD --> USD,2023-09-02,,,
,120,73,634,AUD --> EUR,2023-06-11,,,
,1,75,985,EUR --> GBP,2022-04-06,,,
,9,75,729,EUR --> AUD,2022-09-29,,,
,118,77,338,GBP --> USD,2023-05-03,,,
,40,77,56,GBP --> GBP,2022-03-31,,,
,138,79,848,GBP --> GBP,2022-02-19,,,
,83,79,1,AUD --> EUR,2023-08-10,,,
,119,80,675,GBP --> AUD,2022-08-24,,,
,105,81,908,GBP --> AUD,2022-04-19,,,
,134,81,174,GBP --> USD,2022-09-05,,,
,94,82,154,EUR --> EUR,2022-02-05,,,
,49,82,907,EUR --> AUD,2022-04-07,,,
,62,85,266,USD --> GBP,2022-06-02,,,
,107,88,-584,GBP --> USD,2022-08-11,,,
,111,88,599,GBP --> GBP,2023-11-27,,,
,72,89,216,GBP --> GBP,2022-07-02,,,
,126,91,458,USD --> EUR,2022-11-30,,,
,65,92,436,USD --> GBP,2023-07-03,,,
,13,93,979,EUR --> GBP,2022-10-08,,,
,45,93,611,EUR --> EUR,2022-09-29,,,
,99,94,805,AUD --> USD,2023-04-07,,,
,108,95,717,EUR --> EUR,2022-10-01,,,
,147,96,870,GBP --> AUD,2023-02-18,,,
,38,96,746,EUR --> USD,2022-03-06,,,
,107,98,602,EUR --> USD,2023-12-01,,,
,100,99,977,GBP --> GBP,2022-09-03,,,
,117,100,130,EUR --> GBP,2022-07-12,,,
